T	PC	instr.	A	D	R0/SP	R1/LCL	R2/ARG	R3/THIS	R4/THAT
0	0	000002	0	0	0	0	0	0	0
1	1	166020	2	0	0	0	0	0	0
2	2	000003	2	2	0	0	0	0	0
3	3	160220	3	2	0	0	0	0	0
4	4	000000	3	5	0	0	0	0	0
5	5	161410	0	5	0	0	0	0	0
6	6	000007	0	5	5	0	0	0	0
7	7	165007	7	5	5	0	0	0	0
