T	PC	instr.	A	D	R0/SP	R1/LCL	R2/ARG	R3/THIS	R4/THAT
0	0	000027	0	0	0	0	0	0	0
1	1	166020	23	0	0	0	0	0	0
2	2	000002	23	23	0	0	0	0	0
3	3	165207	2	23	0	0	0	0	0
